"t","n","value"
31,"arg",0.0859478753035376
31,"aus",0.0725804900716873
31,"aut",0.053014875401728
31,"bel",0.0405132514850439
31,"bgr",0.04476663258164
31,"blt",0.0416657620757249
31,"bra",0.384638542881054
31,"can",0.130639679731532
31,"chl",0.0678683554194377
31,"chn",0.119824549304762
31,"cor",0.0649170168311274
31,"cro",0.0261241790292644
31,"dnk",0.0597802897447559
31,"egy",0.0494117164716937
31,"esp",0.0351115626167501
31,"fin",0.0533375228138038
31,"fra",0.106780250501952
31,"gbr",0.0805193251143762
31,"golf57",0.0591019602084423
31,"grc",0.0449450966750231
31,"hun",0.0407759816680136
31,"idn",0.118899217639362
31,"irl",0.0517379374181355
31,"ita",0.029515590253218
31,"jpn",0.0300444525048633
31,"meme",0.0326926956087234
31,"mex",0.0363401099925406
31,"mys",0.0608241369077686
31,"nde",0.136322750251748
31,"nld",0.0366097808139358
31,"noan",0.0619407974229061
31,"noap",0.0681701807156512
31,"nor",0.0565695330273432
31,"oeu",0.0672024123687843
31,"osea",0.0895817653261519
31,"pol",0.13255713055169
31,"prt",0.0340520816020281
31,"rcam",0.0514143543135206
31,"rcz",0.0832472536970879
31,"rfa",0.0383833751993762
31,"ris",0.170473260881963
31,"rjan57",0.0778158466004503
31,"rom",0.0354547353524513
31,"rsaf",0.0621051146759974
31,"rsam",0.0863807640727925
31,"rsas",0.0716191055761426
31,"rsl",0.0336596077785324
31,"rus",0.096931796849572
31,"slo",0.0269961562465519
31,"sui",0.0376792123241364
31,"swe",0.0404321754257531
31,"tha",0.0739344818946489
31,"tur",0.0771266383412337
31,"ukr",0.116397449052916
31,"usa",0.0782390053085693
31,"vnm",0.143819032151904
31,"zaf",0.0814149201369856
32,"arg",0.0824025185310826
32,"aus",0.0693172577547294
32,"aut",0.0501645838573659
32,"bel",0.0379268121286115
32,"bgr",0.0420904237747816
32,"blt",0.039054998484058
32,"bra",0.374789190189369
32,"can",0.126151083068049
32,"chl",0.0647045747454104
32,"chn",0.115564210653586
32,"cor",0.0618155254363999
32,"cro",0.0238414272797414
32,"dnk",0.0567872112001964
32,"egy",0.0466374711572842
32,"esp",0.0326391282436636
32,"fin",0.0504804216560528
32,"fra",0.102795217427242
32,"gbr",0.0770885402450788
32,"golf57",0.0561231981025701
32,"grc",0.0422651213061707
32,"hun",0.0381839972772663
32,"idn",0.114658408513798
32,"irl",0.048914596203032
32,"ita",0.0271612613007993
32,"jpn",0.0276789616855432
32,"meme",0.0302713124715908
32,"mex",0.0338417465949338
32,"mys",0.0578090275166839
32,"nde",0.131714209923272
32,"nld",0.0341057258968336
32,"noan",0.0589021204279599
32,"noap",0.0650000298880096
32,"nor",0.0536442188940671
32,"oeu",0.064052686711299
32,"osea",0.085959713730724
32,"pol",0.128028065258089
32,"prt",0.031602008034679
32,"rcam",0.0485978424600023
32,"rcz",0.0797588947134306
32,"rfa",0.0358418878045242
32,"ris",0.165143959234098
32,"rjan57",0.0744421198162206
32,"rom",0.03297505817013
32,"rsaf",0.0590629696942495
32,"rsam",0.0828262709953534
32,"rsas",0.0683761636953937
32,"rsl",0.031217817541231
32,"rus",0.0931546196551234
32,"slo",0.0246950010401549
32,"sui",0.0351525865917795
32,"swe",0.0378474472146708
32,"tha",0.070642672993776
32,"tur",0.0737674575958502
32,"ukr",0.112209440837029
32,"usa",0.0748563475765104
32,"vnm",0.139052279546857
32,"zaf",0.0779652333468027
33,"arg",0.079240554496076
33,"aus",0.066442612591484
33,"aut",0.0477104824455563
33,"bel",0.0357414208958403
33,"bgr",0.0398136102753031
33,"blt",0.0368448351633381
33,"bra",0.365207162385308
33,"can",0.1220285124071
33,"chl",0.0619312123078731
33,"chn",0.111674100643564
33,"cor",0.0591055991353
