"t","n","value"
9,"bgr",-0.00386064918421185
9,"blt",-0.00262250684309331
9,"bra",0.183395226357923
9,"can",0.043986164424665
9,"chl",-0.0160845957445334
9,"chn",-0.122266996468568
9,"cor",-0.0166443950241697
9,"cro",-0.0028170592950777
9,"dnk",0.00021246106163611
9,"egy",0.00106966217556217
9,"esp",-0.0125804313777375
9,"fin",-0.00341983321691252
9,"fra",-0.023696262865488
9,"gbr",-0.00412985558906756
9,"golf57",0.00948404240250074
9,"grc",-0.000196347452363437
9,"hun",0.00144456136374292
9,"idn",0.504764266966574
9,"irl",-0.0013815858263356
9,"ita",-0.0129337867982662
9,"jpn",-0.0272565351057672
9,"meme",-0.000457666128823968
9,"mex",0.014351347894253
9,"mys",-0.0198752075512722
9,"nde",0.0315874909469439
9,"nld",0.000478316799117608
9,"noan",-0.000428903486796388
9,"noap",-0.0012830677761818
9,"nor",-0.00835170024368171
9,"oeu",-0.0158230123755106
9,"osea",0.06778100652837
9,"pol",-0.0245758130512193
9,"prt",0.000497090094696152
9,"rcam",0.0315447352797393
9,"rcz",-0.00359534436508568
9,"rfa",-0.00817684763862455
9,"ris",-0.00943607510033811
9,"rjan57",0.0167049269526753
9,"rom",-0.025219465566592
9,"rsaf",0.514169614445119
9,"rsam",0.178102371584066
9,"rsas",0.0247514098099976
9,"rsl",-0.00230860003676483
9,"rus",-0.0411136746147376
9,"slo",-0.00278161838612627
9,"sui",-0.000915269564343293
9,"swe",-0.0014543943532407
9,"tha",0.0134869630157073
9,"tur",-0.021223903852843
9,"ukr",-0.00539494325663076
9,"usa",-0.0872889492500967
9,"vnm",-0.000123429795456249
9,"zaf",0.00147513657984299
10,"arg",0.0319148448273908
10,"aus",-0.00678195115067316
10,"aut",-0.00154388208387754
10,"bel",-0.000892199858213886
10,"bgr",-0.00341667452802748
10,"blt",-0.00232091855613758
10,"bra",0.162304775326762
10,"can",0.0389277555158286
10,"chl",-0.014234867233912
10,"chn",-0.108206291874682
10,"cor",-0.0147302895963902
10,"cro",-0.00249309747614377
10,"dnk",0.000188028039547957
10,"egy",0.000946651025372516
10,"esp",-0.0111336817692977
10,"fin",-0.00302655239696758
10,"fra",-0.0209711926359568
10,"gbr",-0.00365492219632479
10,"golf57",0.00839337752621315
10,"grc",-0.000173767495341642
10,"hun",0.00127843680691249
10,"idn",0.446716376265418
10,"irl",-0.001222703456307
10,"ita",-0.0114464013164656
10,"jpn",-0.0241220335686039
10,"meme",-0.000405034524009212
10,"mex",0.0127009428864139
10,"mys",-0.0175895586828759
10,"nde",0.0279549294880454
10,"nld",0.000423310367219083
10,"noan",-0.000379579585814804
10,"noap",-0.00113551498192089
10,"nor",-0.00739125471565831
10,"oeu",-0.0140033659523269
10,"osea",0.0599861907776075
10,"pol",-0.0217495945503291
10,"prt",0.000439924733806094
10,"rcam",0.0279170907225693
10,"rcz",-0.00318187976310083
10,"rfa",-0.00723651016018273
10,"ris",-0.00835092646379923
10,"rjan57",0.0147838603531176
10,"rom",-0.0223192270264339
10,"rsaf",0.45504010878393
10,"rsam",0.157620598851898
10,"rsas",0.0219049976818479
10,"rsl",-0.00204311103253688
10,"rus",-0.0363856020340428
10,"slo",-0.00246173227172175
10,"sui",-0.000810013564443814
10,"swe",-0.00128713900261802
10,"tha",0.011935962268901
10,"tur",-0.018783154909766
10,"ukr",-0.00477452478211822
10,"usa",-0.0772507200863356
10,"vnm",-0.000109235368978781
10,"zaf",0.00130549587316104
11,"arg",0.0282446376722409
11,"aus",-0.00600202676834575
11,"aut",-0.00136633564423162
11,"bel",-0.000789596874519289
11,"bgr",-0.00302375695730432
11,"blt",-0.00205401292218176
11,"bra",0.143639726164184
11,"can",0.0344510636315083
11,"chl",-0.0125978575020121
11,"chn",-0.0957625683090938
11,"cor",-0.0130363062928053
11,"cro",-0.00220639126638723
11,"dnk",0.000166404814999942
11,"egy",0.000837786157454677
11,"esp",-0.00985330836582843
11,"fin",-0.00267849887131631
11,"fra",-0.0185595054828218
11,"gbr",-0.00323460614374744
11,"golf57",0.00742813911069864
11,"grc",-0.000153784233377353
11,"hun",0.00113141657411755
11,"idn",0.395343992994895
11,"irl",-0.0010820925588317
11,"ita",-0.010130065165072
11,"jpn",-0.0213479997082145
11,"meme",-0.000358455553748152
11,"mex",0.0112403344544763
11,"mys",-0.0155667594343452
11,"nde",0.0247401125969202
11,"nld",0.000374629674988889
11,"noan",-0.000335927933446101
11,"noap",-0.00100493075899999
11,"nor",-0.0065412604233576
11,"oeu",-0.0123929788678093
11,"osea",0.0530877788381826
11,"pol",-0.0192483911770413
11,"prt",0.000389333389418394
11,"rcam",0.0247066252894738
11,"rcz",-0.00281596359034423
11,"rfa",-0.00640431149176171
11,"ris",-0.00739056992046232
11,"rjan57",0.0130837164125091
11,"rom",-0.019752515918394
11,"rsaf",0.402710496273779
11,"rsam",0.13949422998393
11,"rsas",0.0193859229484354
11,"rsl",-0.00180815326379514
11,"rus",-0.0322012578001279
11,"slo",-0.00217863306047375
11,"sui",-0.000716862004532776
11,"swe",-0.00113911801731695
11,"tha",0.0105633266079773
11,"tur",-0.0166230920951429
11,"ukr",-0.00422545443217463
11,"usa",-0.068366887276407
11,"vnm",-9.66733015462208e-05
11,"zaf",0.00115536384774752
12,"arg",0.0249965043399332
12,"aus",-0.00531179368998599
12,"aut",-0.00120920704514499
12,"bel",-0.000698793233949571
12,"bgr",-0.00267602490721433
12,"blt",-0.00181780143613085
12,"bra",0.127121157655303
12,"can",0.0304891913138848
12,"chl",-0.0111491038892807
12,"chn",-0.084749872953548
12,"cor",-0.0115371310691327
12,"cro",-0.0019526562707527
12,"dnk",0.000147268261274949
12,"egy",0.000741440749347389
12,"esp",-0.00872017790375816
12,"fin",-0.00237047150111493
12,"fra",-0.0164251623522973
12,"gbr",-0.00286262643721648
12,"golf57",0.0065739031129683
12,"grc",-0.000136099046538958
12,"hun",0.00100130366809403
12,"idn",0.349879433800482
12,"irl",-0.000957651914566052
12,"ita",-0.00896510767108874
12,"jpn",-0.0188929797417698
12,"meme",-0.000317233165067115
12,"mex",0.00994769599221157
12,"mys",-0.0137765820993955
12,"nde",0.0218949996482743
12,"nld",0.000331547262365167
12,"noan",-0.0002972962210998
12,"noap",-0.000889363721714989
12,"nor",-0.00578901547467148
12,"oeu",-0.0109677862980113
12,"osea",0.0469826842717916
12,"pol",-0.0170348261916815
12,"prt",0.000344560049635278
12,"rcam",0.0218653633811843
12,"rcz",-0.00249212777745464
12,"rfa",-0.00566781567020912
12,"ris",-0.00654065437960915
12,"rjan57",0.0115790890250705
12,"rom",-0.0174809765877787
12,"rsaf",0.356398789202294
12,"rsam",0.123452393535778
12,"rsas",0.0171565418093653
12,"rsl",-0.0016002156384587
12,"rus",-0.0284981131531132
12,"slo",-0.00192809025851927
12,"sui",-0.000634422874011506
12,"swe",-0.0010081194453255
12,"tha",0.00934854404805995
12,"tur",-0.0147114365042015
12,"ukr",-0.00373952717247455
12,"usa",-0.0605046952396202
12,"vnm",-8.55558718684054e-05
12,"zaf",0.00102249700525656
13,"arg",0.0221219063408409
13,"aus",-0.0047009374156376
13,"aut",-0.00107014823495331
13,"bel",-0.00061843201204537
13,"bgr",-0.00236828204288468
13,"blt",-0.00160875427097581
13,"bra",0.112502224524943
13,"can",0.0269829343127881
13,"chl",-0.00986695694201346
13,"chn",-0.07500363756389
13,"cor",-0.0102103609961824
13,"cro",-0.00172810079961614
13,"dnk",0.00013033241122833
13,"egy",0.000656175063172439
13,"esp",-0.00771735744482597
13,"fin",-0.00209786727848672
13,"fra",-0.0145362686817831
13,"gbr",-0.00253342439693659
13,"golf57",0.00581790425497694
13,"grc",-0.000120447656186978
13,"hun",0.00088615374626322
13,"idn",0.309643298913426
13,"irl",-0.000847521944390956
13,"ita",-0.00793412028891354
13,"jpn",-0.0167202870714663
13,"meme",-0.000280751351084397
13,"mex",0.00880371095310724
13,"mys",-0.012192275157965
13,"nde",0.0193770746887228
13,"nld",0.000293419327193172
13,"noan",-0.000263107155673323
13,"noap",-0.000787086893717765
13,"nor",-0.00512327869508426
13,"oeu",-0.00970649087373996
13,"osea",0.0415796755805356
13,"pol",-0.0150758211796382
13,"prt",0.000304935643927221
13,"rcam",0.0193508465923481
13,"rcz",-0.00220553308304736
13,"rfa",-0.00501601686813507
13,"ris",-0.0057884791259541
13,"rjan57",0.0102474937871874
13,"rom",-0.0154706642801842
13,"rsaf",0.31541292844403
13,"rsam",0.109255368279164
13,"rsas",0.0151835395012883
13,"rsl",-0.00141619084003595
13,"rus",-0.0252208301405052
13,"slo",-0.00170635987878955
13,"sui",-0.000561464243500183
13,"swe",-0.000892185709113068
13,"tha",0.00827346148253306
13,"tur",-0.0130196213062183
13,"ukr",-0.00330948154763997
13,"usa",-0.0535466552870639
13,"vnm",-7.57169466035388e-05
13,"zaf",0.000904909849652053
14,"arg",0.0195778871116442
