"t","n","value"
11,"cro",-0.007486
11,"dnk",0.000166404814999942
11,"egy",0.000837786157454677
11,"esp",-0.033431
11,"fin",-0.0090878
11,"fra",-0.06297
11,"gbr",-0.0109746
11,"golf57",0.00742813911069864
11,"grc",-0.00052177
11,"hun",0.00113141657411755
11,"idn",0.395343992994895
11,"irl",-0.0036714
11,"ita",-0.03437
11,"jpn",-0.072431
11,"meme",-0.0012161933
11,"mex",0.0112403344544763
11,"mys",-0.052816
11,"nde",0.0247401125969202
11,"nld",0.000374629674988889
11,"noan",-0.00113976
11,"noap",-0.0034096
11,"nor",-0.02219365
11,"oeu",-0.042047773311
11,"osea",0.0530877788381826
11,"pol",-0.0653073
11,"prt",0.000389333389418394
11,"rcam",0.0247066252894738
11,"rcz",-0.0095542
11,"rfa",-0.021729
11,"ris",-0.0250752472
11,"rjan57",0.0130837164125091
11,"rom",-0.06701773
11,"rsaf",0.402710496273779
11,"rsam",0.13949422998393
11,"rsas",0.0193859229484354
11,"rsl",-0.00613483
11,"rus",-0.1092547
11,"slo",-0.00739182
11,"sui",-0.00243222
11,"swe",-0.00386488
11,"tha",0.0105633266079773
11,"tur",-0.0564
11,"ukr",-0.01433642
11,"usa",-0.23196
11,"vnm",-0.000327999999999998
11,"zaf",0.00115536384774752
12,"arg",0.0249965043399332
12,"aus",-0.0203641
12,"aut",-0.0046358
12,"bel",-0.002679
12,"bgr",-0.010259216
12,"blt",-0.006969
12,"bra",0.127121157655303
12,"can",0.0304891913138848
12,"chl",-0.0427429
12,"chn",-0.32491
12,"cor",-0.0442305
12,"cro",-0.007486
12,"dnk",0.000147268261274949
12,"egy",0.000741440749347389
12,"esp",-0.033431
12,"fin",-0.0090878
12,"fra",-0.06297
12,"gbr",-0.0109746
12,"golf57",0.0065739031129683
12,"grc",-0.00052177
12,"hun",0.00100130366809403
12,"idn",0.349879433800482
12,"irl",-0.0036714
12,"ita",-0.03437
12,"jpn",-0.072431
12,"meme",-0.0012161933
12,"mex",0.00994769599221157
12,"mys",-0.052816
12,"nde",0.0218949996482743
12,"nld",0.000331547262365167
12,"noan",-0.00113976
12,"noap",-0.0034096
12,"nor",-0.02219365
12,"oeu",-0.042047773311
12,"osea",0.0469826842717916
12,"pol",-0.0653073
12,"prt",0.000344560049635278
12,"rcam",0.0218653633811843
12,"rcz",-0.0095542
12,"rfa",-0.021729
12,"ris",-0.0250752472
12,"rjan57",0.0115790890250705
12,"rom",-0.06701773
12,"rsaf",0.356398789202294
12,"rsam",0.123452393535778
12,"rsas",0.0171565418093653
12,"rsl",-0.00613483
12,"rus",-0.1092547
12,"slo",-0.00739182
12,"sui",-0.00243222
12,"swe",-0.00386488
12,"tha",0.00934854404805995
12,"tur",-0.0564
12,"ukr",-0.01433642
12,"usa",-0.23196
12,"vnm",-0.000327999999999998
12,"zaf",0.00102249700525656
13,"arg",0.0221219063408409
13,"aus",-0.0203641
13,"aut",-0.0046358
