"","V1","n","V3","value"
"224","COACCH_NoSLR","hun","p25",0.734032
"225","COACCH_NoSLR","hun","p33",0.812784
"226","COACCH_NoSLR","hun","p50",1.000001
"227","COACCH_NoSLR","hun","p67",1.282261
"228","COACCH_NoSLR","hun","p75",1.405976
"229","COACCH_NoSLR","hun","p84",1.593983
"230","COACCH_NoSLR","hun","p95",2.435398
"231","COACCH_NoSLR","hun","p975",2.643728
"232","COACCH_NoSLR","idn","p025",-0.53761
"233","COACCH_NoSLR","idn","p05",-0.25306
"234","COACCH_NoSLR","idn","p16",0.390274
"235","COACCH_NoSLR","idn","p25",0.500113
"236","COACCH_NoSLR","idn","p33",0.650534
"237","COACCH_NoSLR","idn","p50",1
"238","COACCH_NoSLR","idn","p67",1.248998
"239","COACCH_NoSLR","idn","p75",1.387464
"240","COACCH_NoSLR","idn","p84",1.696127
"241","COACCH_NoSLR","idn","p95",1.964056
"242","COACCH_NoSLR","idn","p975",2.096894
"243","COACCH_NoSLR","irl","p025",0.197078
"244","COACCH_NoSLR","irl","p05",0.313185
"245","COACCH_NoSLR","irl","p16",0.591004
"246","COACCH_NoSLR","irl","p25",0.734032
"247","COACCH_NoSLR","irl","p33",0.812784
"248","COACCH_NoSLR","irl","p50",1.000001
"249","COACCH_NoSLR","irl","p67",1.282261
"250","COACCH_NoSLR","irl","p75",1.405976
"251","COACCH_NoSLR","irl","p84",1.593983
"252","COACCH_NoSLR","irl","p95",2.435398
"253","COACCH_NoSLR","irl","p975",2.643728
"254","COACCH_NoSLR","ita","p025",0.197078
"255","COACCH_NoSLR","ita","p05",0.313185
"256","COACCH_NoSLR","ita","p16",0.591004
"257","COACCH_NoSLR","ita","p25",0.734032
"258","COACCH_NoSLR","ita","p33",0.812784
"259","COACCH_NoSLR","ita","p50",1.000001
"260","COACCH_NoSLR","ita","p67",1.282261
"261","COACCH_NoSLR","ita","p75",1.405976
"262","COACCH_NoSLR","ita","p84",1.593983
"263","COACCH_NoSLR","ita","p95",2.435398
"264","COACCH_NoSLR","ita","p975",2.643728
"265","COACCH_NoSLR","jpn","p025",0.322621
"266","COACCH_NoSLR","jpn","p05",0.370136
"267","COACCH_NoSLR","jpn","p16",0.610343
"268","COACCH_NoSLR","jpn","p25",0.769151
"269","COACCH_NoSLR","jpn","p33",0.845473
"270","COACCH_NoSLR","jpn","p50",1
"271","COACCH_NoSLR","jpn","p67",1.260006
"272","COACCH_NoSLR","jpn","p75",1.353221
"273","COACCH_NoSLR","jpn","p84",1.656926
"274","COACCH_NoSLR","jpn","p95",2.096553
"275","COACCH_NoSLR","jpn","p975",2.203359
"276","COACCH_NoSLR","meme","p025",-0.388917
"277","COACCH_NoSLR","meme","p05",-0.176063
"278","COACCH_NoSLR","meme","p16",0.380158
"279","COACCH_NoSLR","meme","p25",0.56864
"280","COACCH_NoSLR","meme","p33",0.743779
"281","COACCH_NoSLR","meme","p50",1
